Stud ID,Name,Percentage,Class,mail,Stud ID,Name,Percentage,Class,mail,Stud ID,Name,Percentage,Class,mail,Stud ID,Name,Percentage,Class,mail
1,Anita Kale,55.678,fy,Anita123@gmail.com,1,Anita Kale,55.678,fy,Anita123@gmail.com,1,Anita Kale,55.678,fy,Anita123@gmail.com,1,Anita Kale,55.678,fy,Anita123@gmail.com
2,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,2,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,2,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,2,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com
3,Ragini YADAV,78.9,sy,Ragini!@gmail.com,3,Ragini YADAV,78.9,sy,Ragini!@gmail.com,3,Ragini YADAV,78.9,sy,Ragini!@gmail.com,3,Ragini YADAV,78.9,sy,Ragini!@gmail.com
4,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,4,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,4,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,4,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com
5,RUPA MALI,,Third Year,Rupa.1@gmail.com,5,RUPA MALI,,Third Year,Rupa.1@gmail.com,5,RUPA MALI,,Third Year,Rupa.1@gmail.com,5,RUPA MALI,,Third Year,Rupa.1@gmail.com
6,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,6,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,6,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,6,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com
7,Anita Kale,55.678,fy,Anita123@gmail.com,7,Anita Kale,55.678,fy,Anita123@gmail.com,7,Anita Kale,55.678,fy,Anita123@gmail.com,7,Anita Kale,55.678,fy,Anita123@gmail.com
8,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,8,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,8,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,8,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com
9,Ragini YADAV,78.9,sy,Ragini!@gmail.com,9,Ragini YADAV,78.9,sy,Ragini!@gmail.com,9,Ragini YADAV,78.9,sy,Ragini!@gmail.com,9,Ragini YADAV,78.9,sy,Ragini!@gmail.com
10,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,10,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,10,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,10,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com
11,RUPA MALI,,Third Year,Rupa.1@gmail.com,11,RUPA MALI,,Third Year,Rupa.1@gmail.com,11,RUPA MALI,,Third Year,Rupa.1@gmail.com,11,RUPA MALI,,Third Year,Rupa.1@gmail.com
12,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,12,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,12,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,12,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com
13,Anita Kale,55.678,fy,Anita123@gmail.com,13,Anita Kale,55.678,fy,Anita123@gmail.com,13,Anita Kale,55.678,fy,Anita123@gmail.com,13,Anita Kale,55.678,fy,Anita123@gmail.com
14,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,14,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,14,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,14,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com
15,Ragini YADAV,78.9,sy,Ragini!@gmail.com,15,Ragini YADAV,78.9,sy,Ragini!@gmail.com,15,Ragini YADAV,78.9,sy,Ragini!@gmail.com,15,Ragini YADAV,78.9,sy,Ragini!@gmail.com
16,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,16,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,16,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,16,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com
17,RUPA MALI,,Third Year,Rupa.1@gmail.com,17,RUPA MALI,,Third Year,Rupa.1@gmail.com,17,RUPA MALI,,Third Year,Rupa.1@gmail.com,17,RUPA MALI,,Third Year,Rupa.1@gmail.com
18,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,18,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,18,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,18,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com
19,Anita Kale,55.678,fy,Anita123@gmail.com,19,Anita Kale,55.678,fy,Anita123@gmail.com,19,Anita Kale,55.678,fy,Anita123@gmail.com,19,Anita Kale,55.678,fy,Anita123@gmail.com
20,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,20,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,20,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,20,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com
21,Ragini YADAV,78.9,sy,Ragini!@gmail.com,21,Ragini YADAV,78.9,sy,Ragini!@gmail.com,21,Ragini YADAV,78.9,sy,Ragini!@gmail.com,21,Ragini YADAV,78.9,sy,Ragini!@gmail.com
22,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,22,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,22,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,22,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com
23,RUPA MALI,,Third Year,Rupa.1@gmail.com,23,RUPA MALI,,Third Year,Rupa.1@gmail.com,23,RUPA MALI,,Third Year,Rupa.1@gmail.com,23,RUPA MALI,,Third Year,Rupa.1@gmail.com
24,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,24,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,24,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,24,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com
25,Anita Kale,55.678,fy,Anita123@gmail.com,25,Anita Kale,55.678,fy,Anita123@gmail.com,25,Anita Kale,55.678,fy,Anita123@gmail.com,25,Anita Kale,55.678,fy,Anita123@gmail.com
26,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,26,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,26,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,26,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com
27,Ragini YADAV,78.9,sy,Ragini!@gmail.com,27,Ragini YADAV,78.9,sy,Ragini!@gmail.com,27,Ragini YADAV,78.9,sy,Ragini!@gmail.com,27,Ragini YADAV,78.9,sy,Ragini!@gmail.com
28,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,28,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,28,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,28,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com
29,RUPA MALI,,Third Year,Rupa.1@gmail.com,29,RUPA MALI,,Third Year,Rupa.1@gmail.com,29,RUPA MALI,,Third Year,Rupa.1@gmail.com,29,RUPA MALI,,Third Year,Rupa.1@gmail.com
30,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,30,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,30,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,30,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com
31,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,10,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,31,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,10,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com
32,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,10,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,32,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,10,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com
33,RUPA MALI,,Third Year,Rupa.1@gmail.com,11,RUPA MALI,,Third Year,Rupa.1@gmail.com,33,RUPA MALI,,Third Year,Rupa.1@gmail.com,11,RUPA MALI,,Third Year,Rupa.1@gmail.com
34,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,12,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,34,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,12,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com
35,Anita Kale,55.678,fy,Anita123@gmail.com,13,Anita Kale,55.678,fy,Anita123@gmail.com,35,Anita Kale,55.678,fy,Anita123@gmail.com,13,Anita Kale,55.678,fy,Anita123@gmail.com
36,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,14,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,36,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,14,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com
37,Ragini YADAV,78.9,sy,Ragini!@gmail.com,15,Ragini YADAV,78.9,sy,Ragini!@gmail.com,37,Ragini YADAV,78.9,sy,Ragini!@gmail.com,15,Ragini YADAV,78.9,sy,Ragini!@gmail.com
38,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,16,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,38,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,16,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com
39,RUPA MALI,,Third Year,Rupa.1@gmail.com,17,RUPA MALI,,Third Year,Rupa.1@gmail.com,39,RUPA MALI,,Third Year,Rupa.1@gmail.com,17,RUPA MALI,,Third Year,Rupa.1@gmail.com
40,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,18,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,40,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,18,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com
41,Anita Kale,55.678,fy,Anita123@gmail.com,19,Anita Kale,55.678,fy,Anita123@gmail.com,41,Anita Kale,55.678,fy,Anita123@gmail.com,19,Anita Kale,55.678,fy,Anita123@gmail.com
42,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,20,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,42,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,20,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com
43,Ragini YADAV,78.9,sy,Ragini!@gmail.com,21,Ragini YADAV,78.9,sy,Ragini!@gmail.com,43,Ragini YADAV,78.9,sy,Ragini!@gmail.com,21,Ragini YADAV,78.9,sy,Ragini!@gmail.com
44,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,22,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,44,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,22,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com
45,RUPA MALI,,Third Year,Rupa.1@gmail.com,23,RUPA MALI,,Third Year,Rupa.1@gmail.com,45,RUPA MALI,,Third Year,Rupa.1@gmail.com,23,RUPA MALI,,Third Year,Rupa.1@gmail.com
46,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,24,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,46,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,24,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com
47,Anita Kale,55.678,fy,Anita123@gmail.com,25,Anita Kale,55.678,fy,Anita123@gmail.com,47,Anita Kale,55.678,fy,Anita123@gmail.com,25,Anita Kale,55.678,fy,Anita123@gmail.com
48,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,26,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,48,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com,26,Vishakha Attarde,67,TY,Vishakha!123@rediffmail.com
49,Ragini YADAV,78.9,sy,Ragini!@gmail.com,27,Ragini YADAV,78.9,sy,Ragini!@gmail.com,49,Ragini YADAV,78.9,sy,Ragini!@gmail.com,27,Ragini YADAV,78.9,sy,Ragini!@gmail.com
50,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,28,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,50,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,28,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com
51,RUPA MALI,,Third Year,Rupa.1@gmail.com,29,RUPA MALI,,Third Year,Rupa.1@gmail.com,51,RUPA MALI,,Third Year,Rupa.1@gmail.com,29,RUPA MALI,,Third Year,Rupa.1@gmail.com
52,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,30,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,52,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com,30,rani yadav,45.5,First Year,Rani    Yadav@yahoo.com
53,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,10,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,53,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com,10,Venuka Prajapati,40.5567,Third year,Venuka##@gmail.com
